ltf,order,closed,slow_ema,expected_profit,actual_profit,price,ask,name,symbol,htf,volume,deal,lcc,hcc,fast_ema,win,date,bid
TIMEFRAME_M1,806610211,False,20,0,0,2207.75,2207.75,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,159139789,100,100,8,False,2024-05-01 02:25:00.000000,2207.598
TIMEFRAME_M1,827139189,False,20,0,0,213821.59,213821.59,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,193111748,100,100,8,False,2024-05-01 02:25:00.000000,213770.05
TIMEFRAME_M1,861094827,False,20,0,0,1537.14,1537.14,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,131486408,100,100,8,False,2024-05-01 02:25:00.000000,1536.69
TIMEFRAME_M1,873690054,False,20,0,0,214506.75,214506.75,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,100596787,100,100,8,False,2024-05-01 02:30:00.000000,214455.21
TIMEFRAME_M1,803634531,False,20,0,0,2210.111,2210.263,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,113078885,100,100,8,False,2024-05-01 02:30:00.000000,2210.111
TIMEFRAME_M1,879692007,False,20,0,0,6262.748,6262.748,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,158002864,100,100,8,False,2024-05-01 02:30:00.000000,6262.574
TIMEFRAME_M1,855160151,False,20,0,0,1535.39,1535.39,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,115100896,100,100,8,False,2024-05-01 02:30:00.000000,1534.94
TIMEFRAME_M1,891982022,False,20,0,0,1534.94,1535.39,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,131300833,100,100,8,False,2024-05-01 02:30:00.000000,1534.94
TIMEFRAME_M1,898791958,False,20,0,0,2210.263,2210.263,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,138254850,100,100,8,False,2024-05-01 02:30:00.000000,2210.111
TIMEFRAME_M1,892304980,False,20,0,0,6262.748,6262.748,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,106192985,100,100,8,False,2024-05-01 02:30:00.000000,6262.574
TIMEFRAME_M1,816742590,False,20,0,0,214506.75,214506.75,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,102686563,100,100,8,False,2024-05-01 02:35:00.000000,214455.21
TIMEFRAME_M1,848417692,False,20,0,0,6263.802,6263.802,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,144854349,100,100,8,False,2024-05-01 02:35:00.000000,6263.628
TIMEFRAME_M1,883909444,False,20,0,0,1530.98,1530.98,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,111325839,100,100,8,False,2024-05-01 02:35:00.000000,1530.53
TIMEFRAME_M1,886430419,False,20,0,0,2210.46,2210.46,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,156362502,100,100,8,False,2024-05-01 02:35:00.000000,2210.308
TIMEFRAME_M1,883781430,False,20,0,0,1542.37,1542.37,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,136145966,100,100,8,False,2024-05-01 02:40:00.000000,1541.92
TIMEFRAME_M1,869800120,False,20,0,0,6264.834,6264.834,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,197090536,100,100,8,False,2024-05-01 02:40:00.000000,6264.66
TIMEFRAME_M1,886804375,False,20,0,0,213943.01,213994.55,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,191003529,100,100,8,False,2024-05-01 02:40:00.000000,213943.01
TIMEFRAME_M1,869833004,False,20,0,0,2211.851,2212.003,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,185359973,100,100,8,False,2024-05-01 02:40:00.000000,2211.851
TIMEFRAME_M1,862086197,False,20,0,0,6264.834,6264.834,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,140178779,100,100,8,False,2024-05-01 02:40:00.000000,6264.66
TIMEFRAME_M1,835457997,False,20,0,0,1541.92,1542.37,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,105665039,100,100,8,False,2024-05-01 02:40:00.000000,1541.92
TIMEFRAME_M1,810581432,False,20,0,0,2212.003,2212.003,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,182058923,100,100,8,False,2024-05-01 02:40:00.000000,2211.851
TIMEFRAME_M1,840509593,False,20,0,0,213994.55,213994.55,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,150500876,100,100,8,False,2024-05-01 02:40:00.000000,213943.01
TIMEFRAME_M1,848175833,False,20,0,0,6265.628,6265.628,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,195192503,100,100,8,False,2024-05-01 02:45:00.000000,6265.454
TIMEFRAME_M1,804849962,False,20,0,0,213381.59,213381.59,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,102649946,100,100,8,False,2024-05-01 02:45:00.000000,213330.05
TIMEFRAME_M1,845920662,False,20,0,0,2211.739,2211.891,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,119388740,100,100,8,False,2024-05-01 02:45:00.000000,2211.739
TIMEFRAME_M1,890953003,False,20,0,0,1540.82,1540.82,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,145133600,100,100,8,False,2024-05-01 02:45:00.000000,1540.37
TIMEFRAME_M1,833472796,False,20,0,0,6264.073,6264.247,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,124043190,100,100,8,False,2024-05-01 02:50:00.000000,6264.073
